Datetime,Open,High,Low,Close,Adj Close,Volume
2024-01-11 16:00:00-05:00,185.54,185.595,185.23,185.2311,185.2311,333010
2024-01-11 16:05:00-05:00,185.239,185.25,185.04,185.06,185.06,410161
2024-01-11 16:10:00-05:00,185.06,185.2089,184.755,185.185,185.185,435567
2024-01-11 16:15:00-05:00,185.18,185.22,185,185.1369,185.1369,303560
2024-01-11 16:20:00-05:00,185.135,185.42,185.09,185.36,185.36,282090
2024-01-11 16:25:00-05:00,185.3699,185.53,185.325,185.37,185.37,317754
2024-01-11 16:30:00-05:00,185.37,185.56,185.37,185.55,185.55,302393
2024-01-11 16:35:00-05:00,185.55,185.55,185.35,185.47,185.47,316399
2024-01-11 16:40:00-05:00,185.46,185.5,185.35,185.415,185.415,291636
2024-01-11 16:45:00-05:00,185.42,185.53,185.32,185.4601,185.4601,364367
2024-01-11 16:50:00-05:00,185.46,185.7,185.34,185.62,185.62,880795
2024-01-11 16:55:00-05:00,185.62,185.77,185.5,185.59,185.59,1713550
2024-01-12 10:30:00-05:00,186.06,186.74,185.91,186.455,186.455,1562452
2024-01-12 10:35:00-05:00,186.45,186.49,186.07,186.23,186.23,586697
2024-01-12 10:40:00-05:00,186.23,186.34,186.115,186.34,186.34,493321
2024-01-12 10:45:00-05:00,186.34,186.54,186.125,186.23,186.23,508898
2024-01-12 10:50:00-05:00,186.24,186.49,186.17,186.2,186.2,404404
2024-01-12 10:55:00-05:00,186.21,186.4,185.73,185.75,185.75,529279
2024-01-12 11:00:00-05:00,185.77,186.05,185.485,186.01,186.01,602194
2024-01-12 11:05:00-05:00,186.01,186.305,185.9001,186.12,186.12,384613
2024-01-12 11:10:00-05:00,186.12,186.19,185.84,185.99,185.99,384413
2024-01-12 11:15:00-05:00,185.98,186.09,185.59,185.636,185.636,364505
2024-01-12 11:20:00-05:00,185.64,185.9,185.64,185.88,185.88,342401
2024-01-12 11:25:00-05:00,185.87,185.98,185.73,185.792,185.792,305946
2024-01-12 11:30:00-05:00,185.79,186,185.63,185.72,185.72,333902
2024-01-12 11:35:00-05:00,185.73,185.8399,185.51,185.61,185.61,332046
2024-01-12 11:40:00-05:00,185.615,185.87,185.45,185.805,185.805,429525
2024-01-12 11:45:00-05:00,185.8,185.83,185.41,185.425,185.425,298024
2024-01-12 11:50:00-05:00,185.46,185.52,185.19,185.3199,185.3199,320296
2024-01-12 11:55:00-05:00,185.315,185.71,185.235,185.695,185.695,347805
2024-01-12 12:00:00-05:00,185.705,185.83,185.52,185.72,185.72,297370
2024-01-12 12:05:00-05:00,185.73,185.925,185.63,185.905,185.905,302118
2024-01-12 12:10:00-05:00,185.9,186,185.78,185.915,185.915,293030
2024-01-12 12:15:00-05:00,185.91,186.06,185.865,185.9801,185.9801,322844
2024-01-12 12:20:00-05:00,185.98,186,185.82,185.86,185.86,315226
2024-01-12 12:25:00-05:00,185.86,186.025,185.845,185.875,185.875,333701
2024-01-12 12:30:00-05:00,185.875,185.925,185.74,185.87,185.87,261681
2024-01-12 12:35:00-05:00,185.8701,185.88,185.39,185.66,185.66,646163
2024-01-12 12:40:00-05:00,185.6589,185.7,185.5,185.55,185.55,230493
2024-01-12 12:45:00-05:00,185.545,185.645,185.44,185.565,185.565,180854
2024-01-12 12:50:00-05:00,185.565,185.64,185.4,185.61,185.61,217800
2024-01-12 12:55:00-05:00,185.6084,185.67,185.51,185.58,185.58,211445
2024-01-12 13:00:00-05:00,185.5724,185.63,185.44,185.5,185.5,186610
2024-01-12 13:05:00-05:00,185.51,185.635,185.455,185.52,185.52,144820
2024-01-12 13:10:00-05:00,185.53,185.655,185.4909,185.56,185.56,225085
2024-01-12 13:15:00-05:00,185.56,185.81,185.52,185.78,185.78,241602
2024-01-12 13:20:00-05:00,185.7788,185.85,185.66,185.68,185.68,235772
2024-01-12 13:25:00-05:00,185.67,185.67,185.515,185.62,185.62,214664
2024-01-12 13:30:00-05:00,185.615,185.675,185.525,185.62,185.62,116102
2024-01-12 13:35:00-05:00,185.61,185.61,185.43,185.48,185.48,153452
2024-01-12 13:40:00-05:00,185.47,185.63,185.44,185.61,185.61,167641
2024-01-12 13:45:00-05:00,185.605,185.6248,185.4586,185.5037,185.5037,149729
2024-01-12 13:50:00-05:00,185.5,185.71,185.46,185.71,185.71,209686
2024-01-12 13:55:00-05:00,185.71,185.79,185.595,185.6228,185.6228,199806
2024-01-12 14:00:00-05:00,185.63,185.725,185.63,185.71,185.71,120057
2024-01-12 14:05:00-05:00,185.72,185.805,185.645,185.78,185.78,181156
2024-01-12 14:10:00-05:00,185.78,185.81,185.72,185.74,185.74,179474
2024-01-12 14:15:00-05:00,185.7303,185.77,185.685,185.7099,185.7099,129812
2024-01-12 14:20:00-05:00,185.71,185.83,185.5802,185.73,185.73,179419
2024-01-12 14:25:00-05:00,185.74,185.84,185.72,185.7938,185.7938,139605
2024-01-12 14:30:00-05:00,185.8,185.86,185.7688,185.847,185.847,163317
